horsepower,peak-rpm,city-mileage,highway-mileage,price
111,5000,21,27,13495
111,5000,21,27,16500
154,5000,19,26,16500
102,5500,24,30,13950
115,5500,18,22,17450
110,5500,19,25,15250
110,5500,19,25,17710
110,5500,19,25,18920
140,5500,17,20,23875
160,5500,16,22,
101,5800,23,29,16430
101,5800,23,29,16925
121,4250,21,28,20970
121,4250,21,28,21105
121,4250,20,25,24565
182,5400,16,22,30760
182,5400,16,22,41315
182,5400,15,20,36880
48,5100,47,53,5151
70,5400,38,43,6295
70,5400,38,43,6575
68,5500,37,41,5572
68,5500,31,38,6377
102,5500,24,30,7957
68,5500,31,38,6229
68,5500,31,38,6692
68,5500,31,38,7609
102,5500,24,30,8558
88,5000,24,30,8921
145,5000,19,24,12964
58,4800,49,54,6479
76,6000,31,38,6855
60,5500,38,42,5399
76,6000,30,34,6529
76,6000,30,34,7129
76,6000,30,34,7295
76,6000,30,34,7295
86,5800,27,33,7895
86,5800,27,33,9095
86,5800,27,33,8845
86,5800,27,33,10295
101,5800,24,28,12945
100,5500,25,31,10345
78,4800,24,29,6785
70,5400,38,43,
70,5400,38,43,
90,5000,24,29,11048
176,4750,15,19,32250
176,4750,15,19,35550
262,5000,13,17,36000
68,5000,30,31,5195
68,5000,31,38,6095
68,5000,31,38,6795
68,5000,31,38,6695
68,5000,31,38,7395
101,6000,17,23,10945
101,6000,17,23,11845
101,6000,17,23,13645
135,6000,16,23,15645
84,4800,26,32,8845
84,4800,26,32,8495
84,4800,26,32,10595
84,4800,26,32,10245
64,4650,36,42,10795
84,4800,26,32,11245
120,5000,19,27,18280
72,4200,31,39,18344
123,4350,22,25,25552
123,4350,22,25,28248
123,4350,22,25,28176
123,4350,22,25,31600
155,4750,16,18,34184
155,4750,16,18,35056
184,4500,14,16,40960
184,4500,14,16,45400
175,5000,19,24,16503
68,5500,37,41,5389
68,5500,31,38,6189
68,5500,31,38,6669
102,5500,24,30,7689
116,5500,23,30,9959
88,5000,25,32,8499
145,5000,19,24,12629
145,5000,19,24,14869
145,5000,19,24,14489
88,5000,25,32,6989
88,5000,25,32,8189
116,5500,23,30,9279
116,5500,23,30,9279
69,5200,31,37,5499
55,4800,45,50,7099
69,5200,31,37,6649
69,5200,31,37,6849
69,5200,31,37,7349
69,5200,31,37,7299
69,5200,31,37,7799
69,5200,31,37,7499
69,5200,31,37,7999
69,5200,31,37,8249
97,5200,27,34,8949
97,5200,27,34,9549
152,5200,17,22,13499
152,5200,17,22,14399
152,5200,19,25,13499
160,5200,19,25,17199
200,5200,17,23,19699
160,5200,19,25,18399
97,5000,19,24,11900
95,4150,28,33,13200
97,5000,19,24,12440
95,4150,25,25,13860
95,5000,19,24,15580
95,4150,28,33,16900
95,5000,19,24,16695
95,4150,25,25,17075
97,5000,19,24,16630
95,4150,28,33,17950
142,5600,18,24,18150
68,5500,37,41,5572
102,5500,24,30,7957
68,5500,31,38,6229
68,5500,31,38,6692
68,5500,31,38,7609
88,5000,24,30,8921
145,5000,19,24,12764
143,5500,19,27,22018
207,5900,17,25,32528
207,5900,17,25,34028
207,5900,17,25,37028
288,5750,17,28,
,,23,31,9295
,,23,31,9895
110,5250,21,28,11850
110,5250,21,28,12170
110,5250,21,28,15040
110,5250,21,28,15510
160,5500,19,26,18150
160,5500,19,26,18620
69,4900,31,36,5118
73,4400,26,31,7053
73,4400,26,31,7603
82,4800,32,37,7126
82,4400,28,33,7775
94,5200,26,32,9960
82,4800,24,25,9233
111,4800,24,29,11259
82,4800,28,32,7463
94,5200,25,31,10198
82,4800,23,29,8013
111,4800,23,23,11694
62,4800,35,39,5348
62,4800,31,38,6338
62,4800,31,38,6488
62,4800,31,37,6918
62,4800,27,32,7898
62,4800,27,32,8778
70,4800,30,37,6938
70,4800,30,37,7198
56,4500,34,36,7898
56,4500,38,47,7788
70,4800,38,47,7738
70,4800,28,34,8358
70,4800,28,34,9258
70,4800,29,34,8058
70,4800,29,34,8238
112,6600,26,29,9298
112,6600,26,29,9538
116,4800,24,30,8449
116,4800,24,30,9639
116,4800,24,30,9989
116,4800,24,30,11199
116,4800,24,30,11549
116,4800,24,30,17669
92,4200,29,34,8948
73,4500,30,33,10698
92,4200,27,32,9988
92,4200,27,32,10898
92,4200,27,32,11248
161,5200,20,24,16558
161,5200,19,24,15998
156,5200,20,24,15690
156,5200,19,24,15750
52,4800,37,46,7775
85,5250,27,34,7975
52,4800,37,46,7995
85,5250,27,34,8195
85,5250,27,34,8495
68,4500,37,42,9495
100,5500,26,32,9995
90,5500,24,29,11595
90,5500,24,29,9980
110,5500,19,24,13295
68,4500,33,38,13845
88,5500,25,31,12290
114,5400,23,28,12940
114,5400,23,28,13415
114,5400,24,28,15985
114,5400,24,28,16515
162,5100,17,22,18420
162,5100,17,22,18950
114,5400,23,28,16845
160,5300,19,25,19045
134,5500,18,23,21485
106,4800,26,27,22470
114,5400,19,25,22625
